Cell_ID	Cluster_PSE	Pseudotime_PSE
SLX_14255_i710_i503	1	84.99483685
SLX_14259_i706_i503	3	85.05647884
SLX_14251_i710_i505	3	85.08673304
SLX_17311_i726_i518	3	85.1074096
SLX_14255_i709_i503	1	85.1451142
SLX_14251_i711_i502	3	85.15301811
SLX_14252_i710_i505	3	85.17381512
SLX_17311_i720_i515	3	85.17747126
SLX_14259_i718_i506	3	85.17934921
SLX_14255_i711_i502	1	85.19326515
SLX_12100_i703_i507	1	85.19729857
SLX_14259_i716_i506	3	85.26859451
SLX_14259_i721_i507	7	85.26881607
SLX_14254_i704_i505	3	85.27513559
SLX_14259_i718_i505	3	85.30139575
SLX_14251_i712_i504	2	85.30660791
SLX_14255_i707_i504	3	85.33880601
SLX_14253_i708_i503	3	85.39869474
SLX_17313_i701_i507	3	85.39882975
SLX_14254_i702_i517	3	85.40502494
SLX_14259_i710_i507	3	85.43995734
SLX_14259_i721_i503	3	85.45737346
SLX_17313_i720_i513	3	85.52909743
SLX_14251_i709_i505	3	85.53142528
SLX_14259_i719_i507	3	85.57376988
SLX_14253_i707_i507	3	85.60894901
